Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Gupta, Shri  Sangamlal Kadedi",Male,Bharatiya Janata Party(BJP),Pratapgarh,#N/A,Information Not Available,Information Not Available,49,23-May-19,In office,First Term,91%,#N/A,#N/A,20,0,11,0,99,0,0,0,0,0,0,0,0,0,0,0
"Gupta, Shri Sudh",#N/A,Bharatiya Janata Party(BJP),Mandsour,Madhya Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,220,45,364,38,318,261,1018,4,1,0,2,1,2,0,0,3,10
"Gurjar, Shri Krishan Pal",Male,Bharatiya Janata Party(BJP),Faridabad,Haryana,Professional Graduate,B.A. LL.B.,63,23-May-19,In office,Second Term,N/A,0,318,11,43,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Hans, Shri Hans Raj",Male,Bharatiya Janata Party(BJP),North West Delhi,#N/A,Information Not Available,Information Not Available,58,23-May-19,In office,First Term,60%,#N/A,#N/A,3,0,3,0,15,0,0,0,0,0,0,0,0,0,1,0
"Hansdak, Shri Vijay Ku",#N/A,Jharkhand Mukti Morcha(JMM),Rajmahal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,35,0,6,6,460,1,1,1,1,0,0,0,0,2,9
"Haridas, Ms. Ramya ",Female,Indian National Congress(INC),Alathur,#N/A,Information Not Available,Information Not Available,34,23-May-19,In office,First Term,83%,#N/A,#N/A,23,0,16,0,123,0,1,0,1,0,0,0,0,0,1,0
"Harsh Vardhan , Dr. ",Male,Bharatiya Janata Party(BJP),Chandni Chowk,#N/A,Professional Graduate,M.B.B.S.,65,23-May-19,In office,Second Term,N/A,#N/A,#N/A,62,62,0,0,0,0,0,0,22,9,0,0,0,0,0,0
"Hasan, Dr.  S.T",Male,Samajwadi Party(SP),Moradabad,Uttar Pradesh,Information Not Available,Information Not Available,62,23-May-19,In office,First Term,79%,0,122,20,0,8,0,4,0,0,0,5,0,0,0,0,0,1,0
"Hegde, Shri Anantkumar ",Male,Bharatiya Janata Party(BJP),Uttara Kannada,#N/A,Inter/ Higher Secondary,"Educated at M.M. Arts and Science College, Sirsi (Karnataka) ",52,23-May-19,In office,Sixth Term,84%,#N/A,#N/A,0,8,0,0,18,245,0,3,0,0,0,0,0,0,0,4
"Hema Malini, Smt. ",Female,Bharatiya Janata Party(BJP),Mathura,Uttar Pradesh,Matric,"Matric Educated at Andhra Mahila Sabha, Chennai",71,23-May-19,In office,Second Term,61%,0,1,11,19,6,13,23,210,0,3,1,1,0,0,0,0,1,5
"Hembram, Shri  Ku",Male,Bharatiya Janata Party(BJP),Jhargram,#N/A,Graduate,"B.Tech. (Hons.), Educated at Indian Institute of Technology, Kharagpur, West Bengal",58,23-May-19,In office,First Term,100%,#N/A,#N/A,6,0,4,0,9,0,0,0,0,0,0,0,0,0,1,0
"Irani, Smt.  Smriti Zubi",#N/A,Bharatiya Janata Party(BJP),Amethi,Uttar Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,35,29,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
"Jadhav, Shri Prataprao ",Male,Shiv Sena(SS),Buldhana,Maharashtra,Under Graduate,"B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",59,23-May-19,In office,Third Term,66%,0,9,20,51,7,25,127,492,2,5,2,1,0,0,0,0,3,4
"Jadhav, Shri Sanjay Haribhau",Male,Shiv Sena(SS),Parbhani,Maharashtra,Matric,Matric,53,23-May-19,In office,Second Term,51%,0.08,296,7,22,4,13,78,294,1,0,0,0,0,0,0,0,1,5
"Jadhav, Dr. Umesh G",#N/A,Bharatiya Janata Party(BJP),Gulbarga,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27,0,12,0,113,0,0,0,1,0,0,0,0,0,2,0
"Jagathrakshakan, Shri S",Male,Dravida Munnetra Kazhagam(DMK),Arakkonam,Tamil Nadu,Inter/ Higher Secondary,Educated at Valudvur,72,23-May-19,In office,Fourth Term,46%,0,77,7,0,0,0,84,0,0,0,1,0,0,0,0,0,1,0
"Jai Prakash, Shri ",Male,Bharatiya Janata Party(BJP),Hardoi,#N/A,Professional Graduate,"B.A., LL.B., Educated at Lucknow University (Uttar Pradesh)",62,23-May-19,In office,Fifth Term,76%,#N/A,#N/A,1,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0
"Jaiswal, Dr. Sanjay",Male,Bharatiya Janata Party(BJP),Paschim Champaran,Bihar,Professional Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",54,23-May-19,In office,Third Term,89%,0,20,72,117,43,55,68,338,2,5,5,11,5,9,0,0,5,8
"Jardosh, Smt. Darshana Vik",Female,Bharatiya Janata Party(BJP),Surat,Gujarat,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",59,23-May-19,In office,Third Term,95%,0,865,28,87,6,11,60,374,0,3,2,0,0,11,0,0,3,5
"Jatua, Shri Choudhury Moh",Male,All India Trinamool Congress(AITC),Mathurapur,#N/A,Post Graduate,M.Com.; Educated at Kolkata University,82,23-May-19,In office,Third Term,73%,#N/A,#N/A,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,11
"Jaunapuria, Shri Sukhbir Singh",#N/A,Bharatiya Janata Party(BJP),Tonk-Sawai Madhopur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,77,4,39,60,317,1,3,1,1,0,10,0,0,1,5
"Jawed, Dr. Mohammad",Male,Indian National Congress(INC),Kishanganj,#N/A,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,99%,#N/A,#N/A,15,0,10,0,58,0,1,0,2,0,0,0,0,0,1,0
"Jayakumar, Dr. K",Male,Indian National Congress(INC),Tiruvallur,#N/A,Doctorate,"B.E. (Mech. Engg.), M. Tech. (Management), P.G. Dip. RT&M and Ind. Dev., Ph.D., M.I.E.
Educated at Madras University, I.I.T. Madras, Tamil Nadu and Institute of Engineers",70,23-May-19,In office,First Term,91%,#N/A,#N/A,14,0,7,0,8,0,0,0,2,0,0,0,0,0,1,0
"Jigajinagi, Shri Ramesh Chand",Male,Bharatiya Janata Party(BJP),Bijapur,#N/A,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",68,23-May-19,In office,Sixth Term,88%,#N/A,#N/A,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,5
"Jolle, Shri Annasaheb Shank",Male,Bharatiya Janata Party(BJP),Chikkodi,#N/A,Graduate,"PUC IInd Year, Educated at Sainik School Bijapur (Vijaypur), Karnataka",57,23-May-19,In office,First Term,76%,#N/A,#N/A,6,0,1,0,72,0,1,0,0,0,0,0,0,0,1,0
"Joshi,  Prof.  Rita Bahugu",Female,Bharatiya Janata Party(BJP),Allahabad,Uttar Pradesh,Information Not Available,Information Not Available,71,23-May-19,In office,First Term,89%,0,1,16,0,3,0,50,0,0,0,2,0,0,0,0,0,3,0
"Joshi, Shri Chandra Prakash",Male,Bharatiya Janata Party(BJP),Chittorgarh,Rajasthan,Graduate,B.Com.,44,23-May-19,In office,Second Term,96%,0,496,84,392,63,333,135,675,0,6,2,0,2,5,0,0,3,5
"Joshi, Shri Pralhad Venkatesh",Male,Bharatiya Janata Party(BJP),Dharwad,Karnataka,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",57,23-May-19,In office,Fourth Term,N/A,13.01,439,75,112,5,31,0,441,0,6,4,4,0,5,0,0,0,14
"Jothi Mani, Ms. S",Female,Indian National Congress(INC),Karur,Tamil Nadu,Information Not Available,Information Not Available,45,23-May-19,In office,First Term,88%,1.44,198,28,0,7,0,75,0,0,0,3,0,0,0,0,0,1,0
"Jyoti, Sadhvi Niranj",Female,Bharatiya Janata Party(BJP),Fatehpur,Uttar Pradesh,Inter/ Higher Secondary,Intermediate,53,23-May-19,In office,Second Term,N/A,3.86,92,8,41,0,5,0,1,0,0,0,0,0,0,0,0,0,1
"K. Navas, Shri  Kani",#N/A,Indian Union Muslim League(IUML),Ramanathapuram,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.43,130,31,0,10,0,108,0,2,0,2,0,2,0,0,0,0,0
"Kachhadiya, Shri Naranbhai Bhikhabhai",Male,Bharatiya Janata Party(BJP),Amreli,Gujarat,Under Matric,"Educated at Charkhadiya, Govt. of Primary School",65,23-May-19,In office,Third Term,94%,0,21,50,139,35,65,193,761,4,5,0,3,4,1,0,0,2,10
"Kaiser, Choudhary Mehboob Ali",Male,Lok Jan Shakti Party(LJSP),Khagaria,Bihar,Graduate,"B.A. (Hons.) History Educated at Aligarh Muslim University, Aligarh, Uttar Pradesh",62,23-May-19,In office,Second Term,89%,4.45,108,0,2,0,1,1,3,0,0,0,0,0,0,0,0,2,5
"Kalanidhi, Dr. Veeraswamy",#N/A,Dravida Munnetra Kazhagam(DMK),Chennai North,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.37,126,29,0,10,0,80,0,0,0,10,0,0,0,0,0,1,0
"Kamait, Shri Dileshw",Male,Janata Dal (United)(JD(U)),Supaul,Bihar,Graduate,"B.A., Personnel Management, Educated at Bhagalpur University, Bhagalpur, Bihar",74,23-May-19,In office,First Term,99%,2.26,273,17,0,10,0,35,0,2,0,3,0,0,0,0,0,2,0
"Kanumuru, Shri Raghu Ramakrishna Raju",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Narsapuram,#N/A,Professional Post Graduate,"M. Pharma, Educated at Andhra University, Vishakapatnam, Andhra Pradesh",58,23-May-19,In office,First Term,96%,#N/A,#N/A,49,0,9,0,127,0,4,0,9,0,0,0,0,0,2,0
"Kapoor, Shri Kish",Male,Bharatiya Janata Party(BJP),Kangra,Himachal Pradesh,Inter/ Higher Secondary,Intermediate,69,23-May-19,In office,First Term,99%,0,98,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
"Karadi, Shri Sanganna A",Male,Bharatiya Janata Party(BJP),Koppal,Karnataka,Inter/ Higher Secondary,S.L.C.,70,23-May-19,In office,Second Term,74%,4.98,340,9,36,4,28,6,149,0,1,0,0,0,1,1,0,1,6
"Karandlaje, Km. Shobh",Female,Bharatiya Janata Party(BJP),Udupi Chikmagalur,Karnataka,Post Graduate,"M.A., MSW",53,23-May-19,In office,Second Term,86%,2.14,266,15,114,7,67,113,740,1,8,0,0,0,1,0,0,2,6
"Karunanidhi, Smt. Kanimozhi",Female,Dravida Munnetra Kazhagam(DMK),Thoothukkudi,Tamil Nadu,Post Graduate,M.A. ( Economics),52,23-May-19,In office,First Term,90%,12.38,316,51,0,29,0,70,0,1,0,6,0,2,0,0,0,5,0
"Kashyap, Shri Dharmendra Ku",Male,Bharatiya Janata Party(BJP),Aonla,Uttar Pradesh,Matric,High School,52,23-May-19,In office,Second Term,93%,0,122,7,7,4,3,15,1,0,0,1,0,0,0,0,0,2,5
"Kashyap, Shri Suresh Ku",#N/A,Bharatiya Janata Party(BJP),Shimla,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,0,6,0,9,0,0,0,1,0,0,0,0,0,2,0
"Kaswan, Shri Rahul",Male,Bharatiya Janata Party(BJP),Churu,#N/A,Graduate,"B.Com., PGDM",43,23-May-19,In office,Second Term,98%,#N/A,#N/A,40,126,19,62,103,460,2,2,1,2,0,0,0,0,0,0
"Katara, Shri Kanakmal",Male,Bharatiya Janata Party(BJP),Banswara,#N/A,Graduate,"B.A., Bed., Educated at Kota Open University, Rajasthan",63,23-May-19,In office,First Term,96%,#N/A,#N/A,16,0,5,0,119,0,1,0,0,0,0,0,0,0,2,0
"Kataria, Shri Rattan Lal",Male,Bharatiya Janata Party(BJP),Ambala,#N/A,Post Graduate,"B.A. (Hons. in Political Science), M.A., LL.B.; Educated at Kurukshetra University, Kurukshetra and S.D. College, Ambala Cantt. (Haryana)",68,23-May-19,In office,Third Term,N/A,#N/A,#N/A,20,154,0,41,0,335,0,3,1,18,0,5,0,1,0,15
"Kateel, Shri Nalin Ku",Male,Bharatiya Janata Party(BJP),Dakshina Kannada,Karnataka,Matric,"Educated at St. Philomeaia Higher School, Puttar, T.W. D.K. Distt. Karnataka",53,23-May-19,In office,Third Term,84%,17.21,624,11,44,3,12,139,685,2,2,0,0,0,1,0,0,2,6
"Katheria, Prof. (Dr.) Ram Shank",Male,Bharatiya Janata Party(BJP),Etawah,#N/A,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",56,23-May-19,In office,Third Term,89%,#N/A,#N/A,15,33,8,6,65,31,1,0,0,2,0,0,0,0,1,6
"Kaur, Smt. Preneet",Female,Indian National Congress(INC),Patiala,Punjab,Graduate,"B.A., T.T.C.; Educated at St. Bedes College and Convent of Jesus and Mary College, Shimla, Himachal Pradesh",75,23-May-19,In office,Fourth Term,89%,9.38,1327,7,0,3,0,10,0,0,0,1,0,0,0,0,0,2,0
"Kaushik, Shri Ramesh Chand",Male,Bharatiya Janata Party(BJP),Sonipat,#N/A,Professional Graduate,"B.A., LL.B.",63,23-May-19,In office,Second Term,100%,#N/A,#N/A,6,19,1,4,113,237,0,2,0,2,0,2,0,0,2,5
"Kesineni, Shri Sriniv",Male,Telugu Desam Party(TDP),Vijayawada,Andhra Pradesh,Matric,Matric,54,23-May-19,In office,Second Term,90%,0,273,12,28,0,5,62,321,1,6,7,3,0,1,0,0,1,6
"Khadse, Smt. Raksha Nikhil",Female,Bharatiya Janata Party(BJP),Raver,Maharashtra,Graduate,B.Sc (Computer Science),33,23-May-19,In office,Second Term,78%,2.33,346,39,53,18,14,131,494,1,3,0,1,0,1,0,0,3,13
"Khaleque,  Shri Abdul",Male,Indian National Congress(INC),Barpeta,Assam,Post Graduate,"M.A. (Double) Educated at Guwahati University, Vinayika Mission University",49,23-May-19,In office,First Term,100%,0,11,29,0,13,0,101,0,2,0,3,0,0,0,0,0,1,0
"Khan, Shri  Abu Tah",Male,All India Trinamool Congress(AITC),Murshidabad,West Bengal,Information Not Available,Information Not Available,59,23-May-19,In office,First Term,71%,0,117,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Khan, Shri  Mohammad Az",Male,Samajwadi Party(SP),Rampur,Uttar Pradesh,Information Not Available,Information Not Available,72,23-May-19,In office,First Term,58%,22.02,607,8,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0
"Khuba, Shri Bhagwanth",Male,Bharatiya Janata Party(BJP),Bidar,#N/A,Professional Graduate,BE (Mech.),53,23-May-19,In office,Second Term,75%,#N/A,#N/A,3,14,1,8,90,329,2,1,0,1,0,0,0,0,1,6
"Kirtikar, Shri Gajanan Chandrakant",Male,Shiv Sena(SS),Mumbai-North-West,#N/A,Graduate,B.A. (Ecomomics),77,23-May-19,In office,Second Term,79%,#N/A,#N/A,15,85,8,35,256,1014,0,4,2,7,0,8,0,0,0,11
"Kishore, Shri Kaushal",Male,Bharatiya Janata Party(BJP),Mohanlalganj,#N/A,Inter/ Higher Secondary,Inter/ Higher Secondary,60,23-May-19,In office,Second Term,95%,#N/A,#N/A,5,41,3,22,113,204,1,1,0,0,0,0,0,0,1,0
"Kolhe, Dr. Amol Ramsi",Male,Nationalist Congress Party(NCP),Shirur,Maharashtra,Professional Graduate,M.B.B.S.,40,23-May-19,In office,First Term,59%,0,68,13,0,4,0,277,0,0,0,1,0,0,0,0,0,1,0
"Koli, Smt. Ranjeet",Female,Bharatiya Janata Party(BJP),Bharatpur,#N/A,Information Not Available,Information Not Available,41,23-May-19,In office,First Term,91%,#N/A,#N/A,13,0,8,0,74,0,0,0,0,0,0,0,0,0,1,0
"Kora, Smt. Geet",Female,Indian National Congress(INC),Singhbhum,#N/A,Post Graduate,"Graduation (BSW), M.B.A. Educated at Viyanka Mission University and Swami Vivekanand Subharti University",37,23-May-19,In office,First Term,50%,#N/A,#N/A,4,0,3,0,26,0,0,0,0,0,0,0,0,0,1,0
"Kotak, Shri Manoj Kishorbhai",Male,Bharatiya Janata Party(BJP),Mumbai-North-East,#N/A,Matric,"SSC, Matric
Educated at SMPR School, Mulund (W)",47,23-May-19,In office,First Term,100%,#N/A,#N/A,22,0,8,0,108,0,5,0,1,0,0,0,0,0,1,0
"Kulaste, Shri Faggan Singh",Male,Bharatiya Janata Party(BJP),Mandla,#N/A,Post Graduate,"M.A., B.Ed. and LL.B. 
Educated at Mandla College, Dr. Hari Singh Gaur University, Sagar and Rani Durgawati University, Jabalpur (Madhya Pradesh)",61,23-May-19,In office,Sixth Term,N/A,#N/A,#N/A,8,45,0,4,0,110,0,3,0,0,0,5,0,0,0,6
"Kumar, Shri Dhanush ",Male,Dravida Munnetra Kazhagam(DMK),Tenkasi,#N/A,Information Not Available,Information Not Available,45,23-May-19,In office,First Term,100%,#N/A,#N/A,5,0,4,0,166,0,0,0,0,0,0,0,0,0,1,0
"Kumar, Shri Kaushalend",Male,Janata Dal (United)(JD(U)),Nalanda,Bihar,Graduate,"B.A. (Hons.) Educated at S.P.M. College,Udatpuri, Biharsharif, and Kisan College, Sohsarai, Nalanda, University of Magadh, Bodhgaya, Bihar",61,23-May-19,In office,Third Term,100%,0,105,43,241,7,35,112,423,2,6,10,71,0,2,0,1,2,6
"Kumar, Shri Narend",Male,Bharatiya Janata Party(BJP),Jhunjhunu,#N/A,Graduate,B.Com,60,23-May-19,In office,First Term,93%,#N/A,#N/A,16,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0
"Kumar, Shri Santosh",Male,Janata Dal (United)(JD(U)),Purnia,#N/A,Inter/ Higher Secondary,Intermediate,44,23-May-19,In office,Second Term,81%,#N/A,#N/A,14,25,7,7,42,171,0,2,0,7,0,0,0,0,2,8
"Kumar, Shri Sunil ",Male,Janata Dal (United)  (JD(U)),Valmiki Nagar,#N/A,Matric,"Educated at H.S. Bathanaha, West Champaran (Bihar) ",73,23-May-19,28-02-2020,Second Term,65%,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kumar, Shri Vijay",#N/A,Janata Dal (United)(JD(U)),Gaya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,0,6,0,68,0,0,0,0,0,0,0,0,0,1,0
"Kumar, Dr. Virendra ",#N/A,Bharatiya Janata Party(BJP),Tikamgarh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43,207,5,91,67,354,0,8,5,5,0,1,0,0,3,7
"Kumari, Km. Diy",Female,Bharatiya Janata Party(BJP),Rajsamand,Rajasthan,Doctorate,"Decorative Arts, Hon. Doctorate in Philosophy
Educated at Chelsea School of Arts, U.K. and Amity University, Jaipur",49,23-May-19,In office,First Term,96%,0,2,12,0,3,0,78,0,3,0,0,0,0,0,0,0,1,0
"Kundariya, Shri Mohanbhai Kalyanji",Male,Bharatiya Janata Party(BJP),Rajkot,#N/A,Matric,SSC,69,23-May-19,In office,Second Term,93%,#N/A,#N/A,10,34,2,5,143,259,3,2,0,0,0,0,0,0,2,4
"Kunwar, Shri Danish Ali",Male,Bahujan Samaj Party(BSP),Amroha,Uttar Pradesh,Information Not Available,Information Not Available,45,23-May-19,In office,First Term,98%,0,302,63,0,19,0,53,0,1,0,17,0,0,0,0,0,3,0
"Kuriakose, Adv. D",Male,Indian National Congress(INC),Idukki,Kerala,Information Not Available,Information Not Available,39,23-May-19,In office,First Term,94%,0,501,35,0,11,0,89,0,1,0,3,0,0,0,0,0,1,0
"Kushawaha, Shri Ravind",Male,Bharatiya Janata Party(BJP),Salempur,Uttar Pradesh,Inter/ Higher Secondary,Intermediate,57,23-May-19,In office,Second Term,95%,0,2,17,19,4,3,109,88,1,4,1,2,0,0,0,0,0,8
"Lal, Shri  Akshai",Male,Bharatiya Janata Party(BJP),Bahraich,#N/A,Matric,"Educated at Sri Krishna Higher Secondary School, Barhaj, Deoria, Uttar Pradesh",73,23-May-19,In office,First Term,91%,#N/A,#N/A,7,0,3,0,7,0,0,0,0,0,0,0,0,0,1,0
"Lal, Shri Pakauri",Male,Apna Dal(Apna Dal),Robertsganj,#N/A,Under Matric,0,68,23-May-19,In office,Second Term,93%,#N/A,#N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Lalrosanga, Shri C",Male,Mizo National Front(MNF),Mizoram,#N/A,Information Not Available,Information Not Available,63,23-May-19,In office,First Term,80%,#N/A,#N/A,2,0,1,0,6,0,0,0,1,0,0,0,0,0,1,0
"Lalwani, Shri Shank",Male,Bharatiya Janata Party(BJP),Indore,Madhya Pradesh,Information Not Available,Information Not Available,58,23-May-19,In office,First Term,99%,10.91,419,20,0,14,0,60,0,2,0,2,0,0,0,0,0,2,0
"Lavu, Shri Sri Krishna Devarayalu",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Narasaraopet,#N/A,Professional Post Graduate,Post Graduate (MS) Journalism and Mass Communication,37,23-May-19,In office,First Term,86%,#N/A,#N/A,31,0,9,0,83,0,1,0,6,0,0,0,0,0,0,0
"Lekhi, Smt. Meenakashi",Female,Bharatiya Janata Party(BJP),New Delhi,#N/A,Professional Graduate,"B.Sc. (Hons), LL.B. Educated at Hindu College",53,23-May-19,In office,Second Term,98%,#N/A,#N/A,45,151,15,69,114,436,2,8,7,16,0,20,0,0,5,14
"Lokhande, Shri Sadashiv Ki",Male,Shiv Sena(SS),Shirdi,#N/A,Inter/ Higher Secondary,Higher Secondary,58,23-May-19,In office,Second Term,54%,#N/A,#N/A,0,25,0,10,76,539,1,3,0,1,0,5,0,0,1,5
"Lone, Shri Mohammad Ak",Male,Jammu and Kashmir National Conference(J&KNC),Baramulla,#N/A,Graduate,"B.A. LL.B. Educated at Kashmir University and Aligarh Muslim University, U.P",73,23-May-19,In office,First Term,59%,#N/A,#N/A,7,0,5,0,5,0,0,0,0,0,0,0,0,0,1,0
"Maadam, Smt. Poonamben Hematbhai",Female,Bharatiya Janata Party(BJP),Jamnagar,Gujarat,Graduate,Graduate,46,23-May-19,In office,Second Term,95%,5.65,187,15,32,1,2,90,348,0,1,1,2,0,0,0,0,2,5
"Madhav, Shri Kuruva Gorantl",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Hindupur,Andhra Pradesh,Professional Graduate,Bachelor of Law Educated at S.K. University Anantapuram,51,23-May-19,In office,First Term,81%,0,816,14,0,7,0,62,0,0,0,3,0,0,0,0,0,1,0
"Madhavi, Smt. Goddeti",Female,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Araku,#N/A,Graduate,"B.Sc. (Computer), B.P.Ed., Educated at SPACES Degree College and Srinivasa College of Physical Education",28,23-May-19,In office,First Term,88%,#N/A,#N/A,12,0,7,0,0,0,0,0,3,0,0,0,0,0,2,0
"Mahajan, Smt. Poonam  Pramod",Female,Bharatiya Janata Party(BJP),Mumbai-North-Central,#N/A,Graduate,"Graduate, Diploma Course",39,23-May-19,In office,Second Term,88%,#N/A,#N/A,6,41,1,13,111,454,0,3,0,4,0,8,0,0,1,9
"Mahant, Smt. Jyotsna Charand",Female,Indian National Congress(INC),Korba,Chhattisgarh,Information Not Available,Information Not Available,66,23-May-19,In office,First Term,66%,7.25,494,3,0,3,0,37,0,2,0,0,0,0,0,0,0,1,0
"Mahaswamiji, Dr. Jaisiddeshwar Shivachary",Male,Bharatiya Janata Party(BJP),Solapur,#N/A,Doctorate,"M.A. Ph. D., Educated at Banaras Hindu University",65,23-May-19,In office,First Term,73%,#N/A,#N/A,7,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0
"Mahato, Shri Bidyut B",Male,Bharatiya Janata Party(BJP),Jamshedpur,Jharkhand,Inter/ Higher Secondary,I. Sc.,57,23-May-19,In office,Second Term,80%,0,250,31,111,13,48,259,897,1,6,1,2,0,2,0,0,0,0
"Mahato, Shri  Jyotirmay Singh",Male,Bharatiya Janata Party(BJP),Purulia,West Bengal,Information Not Available,Information Not Available,35,23-May-19,In office,First Term,94%,0,53,3,0,3,0,46,0,0,0,0,0,0,0,0,0,1,0
"Mahtab, Shri Bhartruhari",Male,Biju Janata Dal(BJD),Cuttack,Odisha,Post Graduate,"M.A. (English); Educated at Utkal University, (Orissa) ",63,23-May-19,In office,Sixth Term,98%,0,1634,111,366,25,75,126,611,3,6,26,65,6,32,0,5,4,26
"Majhi, Shri Ramesh Chand",Male,Biju Janata Dal(BJD),Nabarangpur,#N/A,Graduate,"B.A., Educated at Panabeda College, Chandahandi, Odisha",42,23-May-19,In office,First Term,79%,#N/A,#N/A,16,0,13,0,21,0,0,0,1,0,0,0,0,0,0,0
"Majumdar, Dr. Sukant",#N/A,Bharatiya Janata Party(BJP),Balurghat,West Bengal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.28,484,18,0,9,0,263,0,4,0,2,0,0,0,0,0,2,0
"Mal, Shri  Asit Ku",Male,All India Trinamool Congress(AITC),Bolpur,#N/A,Information not available,University Entrance Examination Educated at Rampurhat College Burdwan University,65,23-May-19,In office,First Term,83%,#N/A,#N/A,15,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0
"Mallah, Shri Kripanath",Male,Bharatiya Janata Party(BJP),Karimganj,#N/A,Information Not Available,Information Not Available,46,23-May-19,In office,First Term,76%,#N/A,#N/A,3,0,2,0,52,0,0,0,0,0,0,0,0,0,1,0
"Mallick, Dr.  Rajash",Female,Biju Janata Dal(BJD),Jagatsinghpur,#N/A,Doctorate,"MBBS., MD, (Pathology), Educated at MKCG Medical College & Hospital Berhampur",55,23-May-19,In office,First Term,59%,#N/A,#N/A,6,0,4,0,1,0,0,0,2,0,0,0,0,0,1,0
"Maloth, Smt. Kavith",Female,Telangana Rashtra Samithi(TRS),Mahabubabad,Telangana,Information Not Available,Information Not Available,40,23-May-19,In office,First Term,58%,2.54,179,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mandal, Shri Ajay Ku",Male,Janata Dal (United)(JD(U)),Bhagalpur,Bihar,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,34%,0,237,8,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0
"Mandal, Smt. Manjulat",Female,Biju Janata Dal(BJD),Bhadrak,#N/A,Information Not Available,Information Not Available,44,23-May-19,In office,First Term,81%,#N/A,#N/A,7,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0
"Mandal, Shri Ramprit",Male,Janata Dal (United)(JD(U)),Jhanjharpur,Bihar,Matric,"10th Pass Educated at Kishan UCH Vidayalaya , Bathnha",64,23-May-19,In office,First Term,96%,0,56,14,0,5,0,28,0,1,0,4,0,0,0,0,0,0,0
"Mandavi, Shri Moh",Male,Bharatiya Janata Party(BJP),Kanker,#N/A,Post Graduate,"M.A. (History) Educated at Government Post Graduate College, Kanker, Chhattisgarh",63,23-May-19,In office,First Term,100%,#N/A,#N/A,7,0,3,0,8,0,0,0,0,0,0,0,0,0,1,0
"Mandlik, Prof. Sanjay Sadashiv",Male,Shiv Sena(SS),Kolhapur,Maharashtra,Information Not Available,Information Not Available,56,23-May-19,In office,First Term,55%,0.27,419,5,0,4,0,228,0,1,0,0,0,0,0,0,0,2,0
